,,,,,,,
,,,,,,,
, FROTA SMAA,,,,FROTA SMAA,,
, FROTA ,DESCRIÇÃO,PLACA,, FROTA ,DESCRIÇÃO,PLACA
,11067,GOL 1.0 CITY,AKP-9413,,41040,TRATOR AGRICOLA NEW H.,AAA-0012
,11077,GOL 1.0,ADL-1545,,41044,ESCAVADEIRA HID. CASE,S/PLACA
,11092,UNO Mille Fire Flex,AQZ-4322,,41048,PÁ CARREGADEIRA NEW H.,PML-3469
,11215,MALIBU LTZ,ATX-5042,,41051,MOTONIVELADORA NEW H.,PML-5070
,11219,NOVO VOYAGE TL MBV,BAL-2689,,41057,ESCAVADEIRA HID. NEW HOLL.,PML-9269
,11220,NOVO VOYAGE TL MBV,BAL-2688,,41059,RETROESCAVADEIRA XCMG,PML-2731
,11223,MOBI LIKE 1.0,BAZ-6072,,41060,ESCAVADEIRA HID. XCMG,PML-2732
,11224,MOBI LIKE 1.0,BAZ-6070,,41061,MOTONIVELADORA SEM,PML-2733
,11262,FORD KA SE 1.0 HAC,BDK-9175,,41062,ROLOCOMPAC. XCMG XS123PDBR,PML-2734
,11285,NISSAN/VERSA 16SV CVT,BAP3A47,,41063,ROLO COMPAC. XCMG XS123PDBR,PML-2735
,11286,CHEVROLET CLASSIC LS,PGI-6H95,,,,
,11287,POLO SED. 2.0 CONFORTILINE,AUV-5H95,,,,
,11288,SIENA ESSENCE 1.6, ATI-1A54,,41067,TRATOR EST. KOMATSU D51X-22,PML-2740
,21099,BLAZER COLINA 4X4,ANL-9467,,41068, MARCA LIUGONG  838TD,PML-2741
,21102,PEUGEOT HOGGARXR,ASX-8529,,41069,ESCAVADEIRAHID.  XE180BR,PML-2746
,21108,MONTANA LS2,GCL-9005,,41070,ROLOCOMPAC. SHANTUI  SR12-C6,
,21113,VAN MERCEDEZ TAKO SPRINM 16,BDV-2E76,,,,
,21122, EFFA/V22,RHJ-8E94,,41072,RETROESCAV. CAT  416, PML-2473
,21128,FIAT/TORO ENDUR AT9 4X4,RHX-4J24,,41073,ROLOCOMPAC. CAT CS11,PML-2742
,21157,CAMIONETE L200 TRITON 3.2 D,AWZ-3058,,41074,ESCAVADEIRA HID. JHON DEERE 160P,PML-2744
,31056,CAM. BASC. VOLKSWAGEM 16.170 BT,AHZ-8864,,,,
,31064,CAM CARROCERIA  CARGO 815,ALE-0619,,,,
,31066,CAM. BASC. EUROCAR. 170E22,ATJ-6522,,,,
,31068,CAM. BASC. EUROCAR. 170E22,ATJ-6648,,41928, RETROESCAV. XCMG XT870BR,PML-73103
,31069,SCANIA T112 MA 320 4X2 CAVALO,AAM-1H08,,41929,TRAT. AGRICOLA NEW HOL. TL5.100,EQU-0167
,31073,CAM. FRIGORIFICO IVEC. EUROC. ,JIE-9022,,41930,ROLO COMPAC. XCMG XS123PDBR,QUE-0178
,31082,CAM. COMBOIO CARGO 1319,AZJ-0479,,41931,PÁ CARREGADEIRA - 130 HP,PML-2736
,31104,CARRETA PRANCHA SR/JHV  ,BAD-4909,,42002,TRATOR MASSEI FERG.,BBB-1111
,31118,CAM. BASCULANTE FORD 2629 6X4,BCU-9J63,,42006,TRAT.AGRÍC. MASSEY FERG. MF292,AAA-8880
,31119,CAM. BASCULANTE FORD 2629 6X5,BCU-9J65,,42905,TRAT. AGRÍC. MASSEY FERG.MF 65X,PML-0057
,31120,CAM. BASCULANTE FORD 2629 6X6,BCU-9J67,,,,
,31123,CAM. BASCUL. IVECO 260 E30 6X4,BDY-8A45,,,,
,31125,CAM. BASCUL. IVECO 260 E30 6X5,BDY-8A60,,,,
,31127,CAM. BASCUL. IVECO 260 E30 6X6,BDY-8A59,,79512,FIAT/UNO VIVACE 1.0,AYP-8524
,31129,CAM. BASCUL. IVECO 260 E30 6X7,BDY-3E08,,79513,FIAT/UNO VIVACE 1.0,AYP-8514
,,,,,,,
,31959,CAM. PIPA IVECO TECTOR 240 E28,BDQ-3E82,,,,
,31960,CAM. PIPA IVECO TECTOR 240 E28,BDQ-3E85,,84140,MOTONIVELADORA SEM ,QUE-0250
,31964,CAM. IVECO PLATAFORMA 310 E30,BEC-8F41,,,,
,31967,CAVALO M.BENS/AXOR 2035,IZF-2A10,,,,
,31968,SEMI REBOQUE FIGROR.  NJSRFR 3E,IIC-3608,,,,
,31975,CAM. BASC. VOLVO/VM 290 4X2 R,MXG6E55,,93002,LIVINA NISSAN ,ATL-3673
,31976,CAM. BASC. VOLVO/VM 290 4X2 R,TBT9I79,,93068,PALIO WEEKEND ADVENTURE,BAJ-7689
,31978,CAM. BASCUL. MERC. ATEGO 2730K,BBY-2758,,93069,PALIO WEEKEND ADVENTURE,BAJ-7691
,41019,PA CASE W20,PML-1019,,93070,PALIO WEEKEND ADVENTURE,BAJ-7690
,41030,ROLO CATEPILLAR ,PPP-0000,,93082,PAJERO SPORT HPE 2.5 4X4 D. 2010,ASZ-2A19
,41031, JCB RETROESCAVADEIRA ,LLL-0000,,93085,VAN IVECO  DAILY 4912,KZR-2C05
,41032,MOTONIVELADORA CAT 12,ATN-4475,,93086,TROLLER T-4 4x4 2.8,JWT-5G89
,41033,MOTONIVELADORA CAT 12,ATN-4476,,93087,VAN IVECO  DAILY 4912,CMW-9J80
